Epoch 1 — Train Loss: 0.1377, Val Loss: 0.0977, LR: 0.000100
Epoch 63 — Train Loss: 0.0367, Val Loss: 0.0379, LR: 0.000002
Epoch 64 — Train Loss: 0.0366, Val Loss: 0.0387, LR: 0.000002
Epoch 65 — Train Loss: 0.0365, Val Loss: 0.0383, LR: 0.000002
Epoch 66 — Train Loss: 0.0366, Val Loss: 0.0388, LR: 0.000002
Epoch 67 — Train Loss: 0.0366, Val Loss: 0.0370, LR: 0.000002
Epoch 68 — Train Loss: 0.0365, Val Loss: 0.0374, LR: 0.000002
Epoch 69 — Train Loss: 0.0365, Val Loss: 0.0389, LR: 0.000002
Epoch 70 — Train Loss: 0.0365, Val Loss: 0.0370, LR: 0.000002
Epoch 71 — Train Loss: 0.0365, Val Loss: 0.0385, LR: 0.000002
Epoch 72 — Train Loss: 0.0364, Val Loss: 0.0389, LR: 0.000002
Epoch 73 — Train Loss: 0.0364, Val Loss: 0.0376, LR: 0.000001
Epoch 74 — Train Loss: 0.0366, Val Loss: 0.0405, LR: 0.000001
Epoch 75 — Train Loss: 0.0364, Val Loss: 0.0372, LR: 0.000001
Epoch 76 — Train Loss: 0.0365, Val Loss: 0.0387, LR: 0.000001
Epoch 77 — Train Loss: 0.0365, Val Loss: 0.0413, LR: 0.000001
Epoch 78 — Train Loss: 0.0365, Val Loss: 0.0378, LR: 0.000001
Epoch 79 — Train Loss: 0.0365, Val Loss: 0.0390, LR: 0.000000
Epoch 80 — Train Loss: 0.0365, Val Loss: 0.0380, LR: 0.000000
Epoch 81 — Train Loss: 0.0364, Val Loss: 0.0373, LR: 0.000000
Epoch 82 — Train Loss: 0.0363, Val Loss: 0.0373, LR: 0.000000
Epoch 83 — Train Loss: 0.0364, Val Loss: 0.0382, LR: 0.000000
Epoch 84 — Train Loss: 0.0365, Val Loss: 0.0395, LR: 0.000000
Epoch 85 — Train Loss: 0.0364, Val Loss: 0.0383, LR: 0.000000
Epoch 86 — Train Loss: 0.0364, Val Loss: 0.0397, LR: 0.000000
Epoch 87 — Train Loss: 0.0364, Val Loss: 0.0388, LR: 0.000000
Epoch 88 — Train Loss: 0.0364, Val Loss: 0.0378, LR: 0.000000
Epoch 89 — Train Loss: 0.0364, Val Loss: 0.0385, LR: 0.000000
Epoch 90 — Train Loss: 0.0364, Val Loss: 0.0372, LR: 0.000000
Epoch 91 — Train Loss: 0.0364, Val Loss: 0.0369, LR: 0.000000
Epoch 92 — Train Loss: 0.0364, Val Loss: 0.0373, LR: 0.000000
Epoch 93 — Train Loss: 0.0365, Val Loss: 0.0385, LR: 0.000000
Epoch 94 — Train Loss: 0.0364, Val Loss: 0.0393, LR: 0.000000
Epoch 95 — Train Loss: 0.0364, Val Loss: 0.0373, LR: 0.000000
Epoch 96 — Train Loss: 0.0364, Val Loss: 0.0389, LR: 0.000000
Epoch 97 — Train Loss: 0.0364, Val Loss: 0.0372, LR: 0.000000
Epoch 98 — Train Loss: 0.0364, Val Loss: 0.0396, LR: 0.000000
Epoch 99 — Train Loss: 0.0364, Val Loss: 0.0380, LR: 0.000000
Epoch 100 — Train Loss: 0.0364, Val Loss: 0.0386, LR: 0.000000

Model save path: DeepSets_Layers_16_Phi_64_Rho_128_Epoch_100_Batch_32.pth
